x,y
4.035534936,4.01469551
3.017795241,0.643823163
0.06431503,0.04801577852
0.203297197,0.09883287424
4.367375412,1.313791898
4.628270598,0.04773171658
4.441842747,3.63072679
0.09909892031,0.08964722969
2.659984987,1.911063417
4.188795311,3.887645339
3.277238653,2.882366475
0.909821137,0.3872152989
4.82085881,3.502391784
0.7138799653,0.5037413738
0.583954304,0.0389639218
1.812492574,1.065322343
3.223311054,1.224734317
1.061907821,0.3011624298
0.02827326998,0.01145732877
3.685734983,0.7872011757
4.937553702,0.7670218372
4.196931133,3.985531977
3.554812676,1.226056213
4.508876372,1.675924738
1.303942828,0.8288500615
2.327799956,1.756577493
3.101095135,3.056391555
2.133466556,1.708560017
4.960606407,3.846796693
2.972625922,0.9138742369
3.332251652,2.361287085
0.7042046306,0.6494704616
2.551922879,2.063076258
0.4936571565,0.1434830906
3.019299004,0.4083429743
2.206480468,0.7040628747
4.864831968,1.029188956
2.800957903,1.558144234
1.283069357,0.09901769455
